f,a1,a2,t1,t2
0.484,0.016,0.0054,0.5111,0.1912
0.485,0.0159,0.0054,0.5111,0.191
0.486,0.0158,0.0054,0.5106,0.1908
0.487,0.0157,0.0054,0.5106,0.1904
0.488,0.0156,0.0054,0.51,0.1902
0.489,0.0155,0.0054,0.51,0.19
0.49,0.0154,0.0054,0.51,0.1896
0.491,0.0156,0.0054,0.5094,0.1934
0.492,0.0157,0.0054,0.5094,0.1932
0.493,0.0159,0.0055,0.5089,0.1928
0.494,0.016,0.0055,0.5089,0.1926
0.495,0.0161,0.0056,0.5089,0.1923
0.496,0.0163,0.0057,0.5083,0.1921
0.497,0.0164,0.0057,0.5083,0.1917
0.498,0.0165,0.0058,0.5078,0.1915
0.499,0.0166,0.0058,0.5078,0.1911
0.5,0.0167,0.0058,0.5078,0.1909
0.501,0.0169,0.0058,0.5072,0.1906
0.502,0.017,0.0059,0.5072,0.1902
0.503,0.0171,0.0059,0.5072,0.19
0.504,0.0172,0.0059,0.5067,0.1896
0.505,0.0173,0.0059,0.5067,0.1894
0.506,0.0173,0.0059,0.5061,0.1889
0.507,0.0174,0.0059,0.5061,0.1846
0.508,0.0175,0.0059,0.5061,0.1881
0.509,0.0176,0.0059,0.5056,0.1879
0.51,0.0176,0.0059,0.5056,0.1874
0.511,0.0177,0.0059,0.5056,0.187
0.512,0.0178,0.0059,0.5056,0.1864
0.513,0.0178,0.0059,0.505,0.186
0.514,0.0179,0.0059,0.505,0.1855
0.515,0.0179,0.0058,0.505,0.1849
0.516,0.0179,0.0058,0.505,0.1843
0.517,0.018,0.0058,0.5044,0.1876
0.518,0.018,0.0058,0.5044,0.187
0.519,0.018,0.0057,0.5044,0.1865
0.52,0.018,0.0057,0.5044,0.1859
0.521,0.018,0.0057,0.5044,0.1852
0.522,0.0181,0.0056,0.5044,0.1806
0.523,0.0181,0.0056,0.5044,0.1802
0.524,0.018,0.0055,0.5044,0.1796
0.525,0.018,0.0055,0.5044,0.1791
0.526,0.018,0.0055,0.5044,0.1826
0.527,0.018,0.0055,0.5044,0.1822
0.528,0.018,0.0055,0.505,0.182
0.529,0.0179,0.0056,0.505,0.1815
0.53,0.0179,0.0056,0.505,0.1811
0.531,0.0178,0.0057,0.5056,0.1809
0.532,0.0178,0.0057,0.5056,0.1804
0.533,0.0177,0.0058,0.5061,0.1802
0.534,0.0177,0.0058,0.5061,0.176
0.535,0.0176,0.0059,0.5067,0.1757
0.536,0.0175,0.0059,0.5067,0.1755
0.537,0.0174,0.0059,0.5072,0.1753
0.538,0.0173,0.006,0.5078,0.1713
0.539,0.0172,0.006,0.5083,0.171
0.54,0.0171,0.006,0.5089,0.1673
0.541,0.017,0.006,0.5094,0.1706
0.542,0.0169,0.0061,0.51,0.1669
0.543,0.017,0.0061,0.51,0.1602
0.544,0.0171,0.0061,0.5106,0.1598
0.545,0.0171,0.0061,0.5111,0.1628
0.546,0.0171,0.0061,0.5117,0.1626
0.547,0.0172,0.0061,0.5122,0.1657
0.548,0.0172,0.0061,0.5128,0.1655
0.549,0.0173,0.0061,0.5133,0.1653
0.55,0.0174,0.0061,0.5139,0.1651
0.551,0.0175,0.0061,0.5144,0.1683
0.552,0.0175,0.0061,0.515,0.1717
0.553,0.0176,0.006,0.5156,0.1715
0.554,0.0176,0.006,0.5156,0.1713
0.555,0.0177,0.006,0.5161,0.2056
0.556,0.0177,0.006,0.5161,0.2052
0.557,0.0178,0.006,0.5167,0.2008
0.558,0.0178,0.0059,0.5167,0.2002
0.559,0.0178,0.0059,0.5172,0.204
0.56,0.0178,0.0059,0.5172,0.2035
0.561,0.0178,0.0059,0.5172,0.2031
0.562,0.0178,0.0059,0.5172,0.2025
0.563,0.0178,0.0059,0.5172,0.2021
0.564,0.0178,0.0059,0.5172,0.206
0.565,0.0178,0.0059,0.5172,0.2098
0.566,0.0177,0.0059,0.5172,0.2093
0.567,0.0177,0.006,0.5172,0.2087
0.568,0.0176,0.006,0.5172,0.2083
0.569,0.0176,0.006,0.5172,0.2076
0.57,0.0175,0.006,0.5167,0.2118
0.571,0.0175,0.0061,0.5167,0.2113
0.572,0.0174,0.0061,0.5167,0.2109
0.573,0.0173,0.0061,0.5161,0.2104
0.574,0.0172,0.0061,0.5161,0.21
0.575,0.0171,0.0061,0.5161,0.2096
0.576,0.017,0.0061,0.5156,0.2091
0.577,0.017,0.0061,0.5156,0.2089
0.578,0.017,0.0061,0.5156,0.2132
0.579,0.0169,0.0061,0.515,0.2127
0.58,0.0169,0.0061,0.515,0.2125
0.581,0.0169,0.0061,0.5447,0.212
0.582,0.017,0.0061,0.5447,0.2118
0.583,0.0171,0.006,0.5441,0.2114
0.584,0.0172,0.006,0.5441,0.2111
0.585,0.0173,0.006,0.5441,0.2062
0.586,0.0174,0.006,0.5435,0.2105
0.587,0.0174,0.0059,0.5435,0.2102
